timestamp,framework,model,quantization,prompt_tokens,gen_tokens,generated_tokens,ttft_ms,tpot_ms,prefill_tps,decode_tps,total_latency_ms,memory_mb,peak_memory_mb,idle_total_mw,idle_gpu_mw,idle_cpu_mw,idle_dram_mw,pp_total_mw,pp_gpu_mw,pp_cpu_mw,pp_soc_mw,pp_dram_mw,pp_gpu_util,pp_cpu_util,pp_emc_bw,pp_samples_warning,dec_total_mw,dec_gpu_mw,dec_cpu_mw,dec_soc_mw,dec_dram_mw,dec_gpu_util,dec_cpu_util,dec_emc_bw,dec_samples_warning,dec_gpu_temp,dec_cpu_temp,prefill_energy_mj,decode_energy_mj,prefill_gpu_energy_mj,decode_gpu_energy_mj,num_params,active_params,pp_tflops,dec_tflops,pp_mbu_roofline,dec_mbu_roofline,pp_mfu,dec_mfu,pp_ai,dec_ai,model_size_gb,kv_cache_gb,peak_tflops_for_quant,peak_bw_gb_s,exclude_reason,regime,_src_csv,device_name,compile_overhead_ms
20260514 19:02:36,pytorch_compile,Llama-3.2-1B,bf16,256,128,128,35.77217800011567,17.0227,7156.3995907426215,58.75,37028.28171766729,2642.78759765625,11118.5546875,12172,4998,1821,693,14761,6596,1793,5232,1139,26,6,0,,34037,17125,2990,9564,4357,64,10,0,,49.7,52.9,528.0331194597075,74163.42,57.163940444184846,448608.1631875438,1235814400,1235814400,17.9281,0.0086,0.7565,0.0933,0.4806,0.0002,0,0,0,0,37.3,204.8,,main,pytorch_compile_sweep_20260514_185926.csv,AGX Orin 32GB,104442.8
20260514 19:05:47,pytorch_compile,Llama-3.2-1B,bf16,512,128,128,63.692847333489524,17.8511,8038.5792351096825,56.02,37124.80146900028,2671.32080078125,11146.30859375,12307,5014,1892,710,16414,7682,2048,5422,1261,50,5,0,,34486,17546,2991,9592,4357,64,10,0,,50.2,53.2,1045.454396131897,78798.31,169.93251668575004,464449.8132467282,1235814400,1235814400,20.4078,0.0087,0.4295,0.0944,0.5471,0.0002,0,0,0,0,37.3,204.8,,main,pytorch_compile_sweep_20260514_185926.csv,AGX Orin 32GB,104332.5
20260514 19:08:59,pytorch_compile,Llama-3.2-1B,bf16,1024,128,128,138.12455033318352,19.2761,7413.598795651541,51.88,37147.676258666856,2752.38720703125,11188.90625,12086,5004,1763,664,20279,10682,2153,5836,1607,69,8,0,,35347,18329,2957,9683,4377,65,10,0,,50.6,53.5,2801.0277562066285,87213.13,784.271196791816,493152.27651354624,1235814400,1235814400,19.3187,0.009,0.2041,0.0979,0.5179,0.0002,0,0,0,0,37.3,204.8,,main,pytorch_compile_sweep_20260514_185926.csv,AGX Orin 32GB,103628.4
20260514 19:12:17,pytorch_compile,Llama-3.2-1B,bf16,2048,128,128,323.6719060005271,22.1924,6327.3950010250965,45.06,38528.4554793343,3012.36865234375,11220.5390625,11997,4997,1739,653,28083,16922,2084,6731,2346,88,4,0,,36670,19522,3047,9720,4381,65,10,0,,51.2,53.9,9089.678136212802,104165.76,3859.7874790562855,554924.4814026731,1235814400,1235814400,17.3375,0.0091,0.0953,0.1048,0.4648,0.0002,0,0,0,0,37.3,204.8,,main,pytorch_compile_sweep_20260514_185926.csv,AGX Orin 32GB,106097.1
20260514 19:15:36,pytorch_compile,Llama-3.2-1B,bf16,128,256,256,24.08132433326197,16.8990,5315.322289945736,59.18,39679.25959200026,2631.52099609375,11459.1953125,11628,4995,1608,540,13853,5634,2048,5132,1039,0,5,0,,36533,18481,3153,10183,4715,65,11,0,,51.2,54.2,333.5985859886781,158046.81,15.387966248954399,534789.7341177572,1235814400,1235814400,13.2267,0.0161,1.119,0.1738,0.3546,0.0004,0,0,0,0,37.3,204.8,,main,pytorch_compile_sweep_20260514_185926.csv,AGX Orin 32GB,105992.4
20260514 19:19:38,pytorch_compile,Llama-3.2-1B,bf16,128,1024,1024,23.559564999838283,18.0796,5433.037494575075,55.31,54094.520639999246,2631.52099609375,10782.82421875,12409,5010,1969,728,14410,5633,2304,5299,1173,0,3,0,,39753,20426,3336,10873,5117,69,12,0,,53.5,56.4,339.49333164766966,735965.85,14.67760899489925,833557.9359321909,1235814400,1235814400,13.5196,0.0483,1.1438,0.5137,0.3625,0.0013,0,0,0,0,37.3,204.8,,main,pytorch_compile_sweep_20260514_185926.csv,AGX Orin 32GB,106695.5
20260514 19:24:45,pytorch_compile,Llama-3.2-1B,bf16,128,2048,2048,23.173273332455818,19.5680,5523.604635549131,51.10,75365.53497599925,2631.52099609375,10755.66796875,12786,5071,2152,774,14737,5506,2688,5336,1207,0,9,0,,41378,21713,3174,11182,5308,74,11,0,,56.3,58.8,341.5045291004014,1658232.89,10.08037389961828,1253847.5834557808,1235814400,1235814400,13.745,0.0713,1.1628,0.7421,0.3685,0.0019,0,0,0,0,37.3,204.8,,main,pytorch_compile_sweep_20260514_185926.csv,AGX Orin 32GB,105846.7
20260514 19:32:25,pytorch_compile,Llama-3.2-1B,bf16,128,4096,4096,22.99123533339298,22.5784,5567.338950860547,44.29,127089.158939,2665.4609375,10872.140625,12094,5001,1703,637,13542,5506,1792,5238,1006,0,1,0,,43815,23710,3018,11602,5483,81,9,0,,59.8,62.0,311.3473088848077,4052066.54,11.610573843363454,2377280.9315678985,1235814400,1235814400,13.8538,0.0888,1.1872,0.9021,0.3714,0.0024,0,0,0,0,37.3,204.8,,main,pytorch_compile_sweep_20260514_185926.csv,AGX Orin 32GB,103837.0
